id,name,slug,logo_url,description,verified,commission_rate,api_enabled,contact_email,whatsapp_number,created_at,updated_at
br_001,Brand 1 Atelier,brand-1-atelier,https://cdn.example.com/brands/br_001.png,Description for Brand 1 Atelier.,true,11.00,false,contact@brand1.test,+923000000001,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_002,Brand 2 Atelier,brand-2-atelier,https://cdn.example.com/brands/br_002.png,Description for Brand 2 Atelier.,true,12.00,false,contact@brand2.test,+923000000002,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_003,Brand 3 Atelier,brand-3-atelier,https://cdn.example.com/brands/br_003.png,Description for Brand 3 Atelier.,true,13.00,false,contact@brand3.test,+923000000003,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_004,Brand 4 Atelier,brand-4-atelier,https://cdn.example.com/brands/br_004.png,Description for Brand 4 Atelier.,true,14.00,false,contact@brand4.test,+923000000004,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_005,Brand 5 Atelier,brand-5-atelier,https://cdn.example.com/brands/br_005.png,Description for Brand 5 Atelier.,true,10.00,false,contact@brand5.test,+923000000005,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_006,Brand 6 Atelier,brand-6-atelier,https://cdn.example.com/brands/br_006.png,Description for Brand 6 Atelier.,true,11.00,false,contact@brand6.test,+923000000006,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_007,Brand 7 Atelier,brand-7-atelier,https://cdn.example.com/brands/br_007.png,Description for Brand 7 Atelier.,true,12.00,false,contact@brand7.test,+923000000007,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_008,Brand 8 Atelier,brand-8-atelier,https://cdn.example.com/brands/br_008.png,Description for Brand 8 Atelier.,true,13.00,false,contact@brand8.test,+923000000008,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_009,Brand 9 Atelier,brand-9-atelier,https://cdn.example.com/brands/br_009.png,Description for Brand 9 Atelier.,true,14.00,false,contact@brand9.test,+923000000009,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_010,Brand 10 Atelier,brand-10-atelier,https://cdn.example.com/brands/br_010.png,Description for Brand 10 Atelier.,true,10.00,false,contact@brand10.test,+923000000010,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
