id,user_id,order_updates,promo_emails,security_alerts,wishlist_alerts,updated_at
np_001,usr_001,true,true,true,true,2026-05-15T00:00:00Z
np_002,usr_002,true,false,true,true,2026-05-15T00:00:00Z
np_003,usr_003,true,true,true,false,2026-05-15T00:00:00Z
np_004,usr_004,true,false,true,true,2026-05-15T00:00:00Z
np_005,usr_005,true,true,true,true,2026-05-15T00:00:00Z
np_006,usr_006,true,false,true,false,2026-05-15T00:00:00Z
np_007,usr_007,true,true,true,true,2026-05-15T00:00:00Z
np_008,usr_008,true,false,true,true,2026-05-15T00:00:00Z
np_009,usr_009,true,true,true,false,2026-05-15T00:00:00Z
np_010,usr_010,true,false,true,true,2026-05-15T00:00:00Z
np_011,usr_011,true,true,true,true,2026-05-15T00:00:00Z
np_012,usr_012,true,false,true,false,2026-05-15T00:00:00Z
np_013,usr_013,true,true,true,true,2026-05-15T00:00:00Z
np_014,usr_014,true,false,true,true,2026-05-15T00:00:00Z
np_015,usr_015,true,true,true,false,2026-05-15T00:00:00Z
np_016,usr_016,true,false,true,true,2026-05-15T00:00:00Z
np_017,usr_017,true,true,true,true,2026-05-15T00:00:00Z
np_018,usr_018,true,false,true,false,2026-05-15T00:00:00Z
np_019,usr_019,true,true,true,true,2026-05-15T00:00:00Z
np_020,usr_020,true,false,true,true,2026-05-15T00:00:00Z
np_021,usr_021,true,true,true,false,2026-05-15T00:00:00Z
np_022,usr_022,true,false,true,true,2026-05-15T00:00:00Z
np_023,usr_023,true,true,true,true,2026-05-15T00:00:00Z
np_024,usr_024,true,false,true,false,2026-05-15T00:00:00Z
np_025,usr_025,true,true,true,true,2026-05-15T00:00:00Z
np_026,usr_026,true,false,true,true,2026-05-15T00:00:00Z
np_027,usr_027,true,true,true,false,2026-05-15T00:00:00Z
np_028,usr_028,true,false,true,true,2026-05-15T00:00:00Z
np_029,usr_029,true,true,true,true,2026-05-15T00:00:00Z
np_030,usr_030,true,false,true,false,2026-05-15T00:00:00Z
np_031,usr_031,true,true,true,true,2026-05-15T00:00:00Z
np_032,usr_032,true,false,true,true,2026-05-15T00:00:00Z
np_033,usr_033,true,true,true,false,2026-05-15T00:00:00Z
np_034,usr_034,true,false,true,true,2026-05-15T00:00:00Z
np_035,usr_035,true,true,true,true,2026-05-15T00:00:00Z
np_036,usr_036,true,false,true,false,2026-05-15T00:00:00Z
np_037,usr_037,true,true,true,true,2026-05-15T00:00:00Z
np_038,usr_038,true,false,true,true,2026-05-15T00:00:00Z
np_039,usr_039,true,true,true,false,2026-05-15T00:00:00Z
np_040,usr_040,true,false,true,true,2026-05-15T00:00:00Z
np_041,usr_041,true,true,true,true,2026-05-15T00:00:00Z
np_042,usr_042,true,false,true,false,2026-05-15T00:00:00Z
np_043,usr_043,true,true,true,true,2026-05-15T00:00:00Z
np_044,usr_044,true,false,true,true,2026-05-15T00:00:00Z
np_045,usr_045,true,true,true,false,2026-05-15T00:00:00Z
np_046,usr_046,true,false,true,true,2026-05-15T00:00:00Z
np_047,usr_047,true,true,true,true,2026-05-15T00:00:00Z
np_048,usr_048,true,false,true,false,2026-05-15T00:00:00Z
np_049,usr_049,true,true,true,true,2026-05-15T00:00:00Z
np_050,usr_050,true,false,true,true,2026-05-15T00:00:00Z
np_051,usr_051,true,true,true,false,2026-05-15T00:00:00Z
np_052,usr_052,true,false,true,true,2026-05-15T00:00:00Z
np_053,usr_053,true,true,true,true,2026-05-15T00:00:00Z
np_054,usr_054,true,false,true,false,2026-05-15T00:00:00Z
np_055,usr_055,true,true,true,true,2026-05-15T00:00:00Z
np_056,usr_056,true,false,true,true,2026-05-15T00:00:00Z
