id,user_id,brand_id,order_id,type,title,message,read_at,channel,delivery_status,delivery_attempts,failed_reason,next_attempt_at,created_at,updated_at
ntf_001,usr_001,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_002,usr_002,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_003,usr_003,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_004,usr_004,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_005,usr_005,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_006,usr_006,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_007,usr_007,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_008,usr_008,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_009,usr_009,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_010,usr_010,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_011,usr_011,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_012,usr_012,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_013,usr_013,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_014,usr_014,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_015,usr_015,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_016,usr_016,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_017,usr_017,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_018,usr_018,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_019,usr_019,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_020,usr_020,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_021,usr_021,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_022,usr_022,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_023,usr_023,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_024,usr_024,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_025,usr_025,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_026,usr_026,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_027,usr_027,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_028,usr_028,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_029,usr_029,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_030,usr_030,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_031,usr_031,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_032,usr_032,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_033,usr_033,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_034,usr_034,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_035,usr_035,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_036,usr_036,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_037,usr_037,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_038,usr_038,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_039,usr_039,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_040,usr_040,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_041,usr_041,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_042,usr_042,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_043,usr_043,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_044,usr_044,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_045,usr_045,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_046,usr_046,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_047,usr_047,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_048,usr_048,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_049,usr_049,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_050,usr_050,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_051,usr_051,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_052,usr_052,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ntf_053,usr_053,,,ACCOUNT_UPDATE,Welcome,Hello user,,DASHBOARD,DELIVERED,1,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
