id,order_id,sub_order_id,product_id,brand_id,quantity,unit_price_pkr,selected_color,selected_size
oi_001_1_1,ord_001,sub_001_1,prd_003,br_001,1,2001,Black,M
oi_001_1_2,ord_001,sub_001_1,prd_004,br_001,1,2001,Black,M
oi_001_2_1,ord_001,sub_001_2,prd_004,br_002,1,2001,Black,M
oi_001_2_2,ord_001,sub_001_2,prd_005,br_002,1,2001,Black,M
oi_002_1_1,ord_002,sub_002_1,prd_004,br_002,1,2002,Black,M
oi_002_1_2,ord_002,sub_002_1,prd_005,br_002,1,2002,Black,M
oi_002_2_1,ord_002,sub_002_2,prd_005,br_003,1,2002,Black,M
oi_002_2_2,ord_002,sub_002_2,prd_006,br_003,1,2002,Black,M
oi_003_1_1,ord_003,sub_003_1,prd_005,br_003,1,2003,Black,M
oi_003_1_2,ord_003,sub_003_1,prd_006,br_003,1,2003,Black,M
oi_003_2_1,ord_003,sub_003_2,prd_006,br_004,1,2003,Black,M
oi_003_2_2,ord_003,sub_003_2,prd_007,br_004,1,2003,Black,M
oi_004_1_1,ord_004,sub_004_1,prd_006,br_004,1,2004,Black,M
oi_004_1_2,ord_004,sub_004_1,prd_007,br_004,1,2004,Black,M
oi_004_2_1,ord_004,sub_004_2,prd_007,br_005,1,2004,Black,M
oi_004_2_2,ord_004,sub_004_2,prd_008,br_005,1,2004,Black,M
oi_005_1_1,ord_005,sub_005_1,prd_007,br_005,1,2005,Black,M
oi_005_1_2,ord_005,sub_005_1,prd_008,br_005,1,2005,Black,M
oi_005_2_1,ord_005,sub_005_2,prd_008,br_006,1,2005,Black,M
oi_005_2_2,ord_005,sub_005_2,prd_009,br_006,1,2005,Black,M
oi_006_1_1,ord_006,sub_006_1,prd_008,br_006,1,2006,Black,M
oi_006_1_2,ord_006,sub_006_1,prd_009,br_006,1,2006,Black,M
oi_006_2_1,ord_006,sub_006_2,prd_009,br_007,1,2006,Black,M
oi_006_2_2,ord_006,sub_006_2,prd_010,br_007,1,2006,Black,M
oi_007_1_1,ord_007,sub_007_1,prd_009,br_007,1,2007,Black,M
oi_007_1_2,ord_007,sub_007_1,prd_010,br_007,1,2007,Black,M
oi_007_2_1,ord_007,sub_007_2,prd_010,br_008,1,2007,Black,M
oi_007_2_2,ord_007,sub_007_2,prd_011,br_008,1,2007,Black,M
oi_008_1_1,ord_008,sub_008_1,prd_010,br_008,1,2008,Black,M
oi_008_1_2,ord_008,sub_008_1,prd_011,br_008,1,2008,Black,M
oi_008_2_1,ord_008,sub_008_2,prd_011,br_009,1,2008,Black,M
