id,brand_id,approval_status,name,slug,description,gender,color,type,actual_price,sale_price,discount_percentage,price_pkr,top_category,sub_category,sizes,tags,image_url,stock,is_active,created_at,updated_at
prd_001,br_heritage,APPROVED,Product 1,product-1,Description for Product 1.,WOMEN,White,Dress,4210.0,3700.0,10.0,3695,cat_women,cat_tops,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_001.jpg,21,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_002,br_nova,APPROVED,Product 2,product-2,Description for Product 2.,WOMEN,Red,Knitwear,4220.0,3710.0,12.0,3700,cat_tops,cat_dresses,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_002.jpg,22,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_003,br_verve,APPROVED,Product 3,product-3,Description for Product 3.,WOMEN,Navy,Accessory,4230.0,3720.0,10.0,3705,cat_dresses,cat_knitwear,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_003.jpg,23,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_004,br_mira,APPROVED,Product 4,product-4,Description for Product 4.,WOMEN,Rose,Loungewear,4240.0,3730.0,12.0,3710,cat_knitwear,cat_accessories,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_004.jpg,24,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_005,br_rise,APPROVED,Product 5,product-5,Description for Product 5.,WOMEN,Black,Activewear,4250.0,3740.0,10.0,3715,cat_accessories,cat_loungewear,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_005.jpg,25,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_006,br_luna,APPROVED,Product 6,product-6,Description for Product 6.,WOMEN,White,Top,4260.0,3750.0,12.0,3720,cat_loungewear,cat_active,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_006.jpg,26,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_007,br_heritage,APPROVED,Product 7,product-7,Description for Product 7.,WOMEN,Red,Dress,4270.0,3760.0,10.0,3725,cat_active,cat_tops,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_007.jpg,27,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_008,br_nova,APPROVED,Product 8,product-8,Description for Product 8.,WOMEN,Navy,Knitwear,4280.0,3770.0,12.0,3730,cat_women,cat_tops,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_008.jpg,28,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_009,br_verve,APPROVED,Product 9,product-9,Description for Product 9.,WOMEN,Rose,Accessory,4290.0,3780.0,10.0,3735,cat_tops,cat_dresses,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_009.jpg,29,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_010,br_mira,APPROVED,Product 10,product-10,Description for Product 10.,WOMEN,Black,Loungewear,4300.0,3790.0,12.0,3740,cat_dresses,cat_knitwear,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_010.jpg,30,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_011,br_rise,APPROVED,Product 11,product-11,Description for Product 11.,WOMEN,White,Activewear,4310.0,3800.0,10.0,3745,cat_knitwear,cat_accessories,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_011.jpg,31,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_012,br_luna,APPROVED,Product 12,product-12,Description for Product 12.,WOMEN,Red,Top,4320.0,3810.0,12.0,3750,cat_accessories,cat_loungewear,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_012.jpg,32,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_013,br_heritage,APPROVED,Product 13,product-13,Description for Product 13.,WOMEN,Navy,Dress,4330.0,3820.0,10.0,3755,cat_loungewear,cat_active,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_013.jpg,33,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_014,br_nova,APPROVED,Product 14,product-14,Description for Product 14.,WOMEN,Rose,Knitwear,4340.0,3830.0,12.0,3760,cat_active,cat_tops,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_014.jpg,34,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_015,br_verve,APPROVED,Product 15,product-15,Description for Product 15.,WOMEN,Black,Accessory,4350.0,3840.0,10.0,3765,cat_women,cat_tops,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_015.jpg,35,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
