id,product_id,user_id,brand_id,order_item_id,rating,title,content,status,is_verified_purchase,moderated_by_id,moderation_reason,moderated_at,created_at,updated_at
rev_001,prd_001,usr_006,br_nova,oi_001_1_1,2,Review title 1,This is a sample review for product prd_001.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_002,prd_002,usr_007,br_verve,oi_002_1_1,3,Review title 2,This is a sample review for product prd_002.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_003,prd_003,usr_008,br_mira,oi_003_1_1,4,Review title 3,This is a sample review for product prd_003.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_004,prd_004,usr_009,br_rise,oi_004_1_1,5,Review title 4,This is a sample review for product prd_004.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_005,prd_005,usr_010,br_luna,oi_005_1_1,1,Review title 5,This is a sample review for product prd_005.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_006,prd_006,usr_011,br_heritage,oi_006_1_1,2,Review title 6,This is a sample review for product prd_006.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_007,prd_007,usr_012,br_nova,oi_007_1_1,3,Review title 7,This is a sample review for product prd_007.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_008,prd_008,usr_013,br_verve,oi_008_1_1,4,Review title 8,This is a sample review for product prd_008.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_009,prd_009,usr_014,br_mira,oi_009_1_1,5,Review title 9,This is a sample review for product prd_009.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_010,prd_010,usr_015,br_rise,oi_010_1_1,1,Review title 10,This is a sample review for product prd_010.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_011,prd_011,usr_016,br_luna,oi_011_1_1,2,Review title 11,This is a sample review for product prd_011.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_012,prd_012,usr_017,br_heritage,oi_012_1_1,3,Review title 12,This is a sample review for product prd_012.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_013,prd_013,usr_018,br_nova,oi_013_1_1,4,Review title 13,This is a sample review for product prd_013.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_014,prd_014,usr_019,br_verve,oi_014_1_1,5,Review title 14,This is a sample review for product prd_014.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_015,prd_015,usr_020,br_mira,oi_015_1_1,1,Review title 15,This is a sample review for product prd_015.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_016,prd_016,usr_021,br_rise,oi_016_1_1,2,Review title 16,This is a sample review for product prd_016.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_017,prd_017,usr_022,br_luna,oi_017_1_1,3,Review title 17,This is a sample review for product prd_017.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_018,prd_018,usr_023,br_heritage,oi_018_1_1,4,Review title 18,This is a sample review for product prd_018.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_019,prd_019,usr_024,br_nova,oi_019_1_1,5,Review title 19,This is a sample review for product prd_019.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_020,prd_020,usr_025,br_verve,oi_020_1_1,1,Review title 20,This is a sample review for product prd_020.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_021,prd_021,usr_026,br_mira,oi_021_1_1,2,Review title 21,This is a sample review for product prd_021.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_022,prd_022,usr_027,br_rise,oi_022_1_1,3,Review title 22,This is a sample review for product prd_022.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_023,prd_023,usr_028,br_luna,oi_023_1_1,4,Review title 23,This is a sample review for product prd_023.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_024,prd_024,usr_029,br_heritage,oi_024_1_1,5,Review title 24,This is a sample review for product prd_024.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_025,prd_025,usr_030,br_nova,oi_025_1_1,1,Review title 25,This is a sample review for product prd_025.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_026,prd_026,usr_031,br_verve,oi_026_1_1,2,Review title 26,This is a sample review for product prd_026.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_027,prd_027,usr_032,br_mira,oi_027_1_1,3,Review title 27,This is a sample review for product prd_027.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_028,prd_028,usr_033,br_rise,oi_028_1_1,4,Review title 28,This is a sample review for product prd_028.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_029,prd_029,usr_034,br_luna,oi_029_1_1,5,Review title 29,This is a sample review for product prd_029.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_030,prd_030,usr_035,br_heritage,oi_030_1_1,1,Review title 30,This is a sample review for product prd_030.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_031,prd_031,usr_036,br_nova,oi_031_1_1,2,Review title 31,This is a sample review for product prd_031.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_032,prd_032,usr_037,br_verve,oi_032_1_1,3,Review title 32,This is a sample review for product prd_032.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_033,prd_033,usr_038,br_mira,oi_033_1_1,4,Review title 33,This is a sample review for product prd_033.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_034,prd_034,usr_039,br_rise,oi_034_1_1,5,Review title 34,This is a sample review for product prd_034.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_035,prd_035,usr_040,br_luna,oi_035_1_1,1,Review title 35,This is a sample review for product prd_035.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_036,prd_036,usr_041,br_heritage,oi_036_1_1,2,Review title 36,This is a sample review for product prd_036.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_037,prd_037,usr_042,br_nova,oi_037_1_1,3,Review title 37,This is a sample review for product prd_037.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_038,prd_038,usr_043,br_verve,oi_038_1_1,4,Review title 38,This is a sample review for product prd_038.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_039,prd_039,usr_044,br_mira,oi_039_1_1,5,Review title 39,This is a sample review for product prd_039.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_040,prd_040,usr_045,br_rise,oi_040_1_1,1,Review title 40,This is a sample review for product prd_040.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_041,prd_041,usr_046,br_luna,oi_041_1_1,2,Review title 41,This is a sample review for product prd_041.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
