id,order_id,brand_id,status,subtotal_pkr,tracking_id,created_at,updated_at
sub_001_1,ord_001,br_001,CONFIRMED,4005,SUB-2011,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_001_2,ord_001,br_002,CONFIRMED,4005,SUB-2012,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_002_1,ord_002,br_002,CONFIRMED,4010,SUB-2021,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_002_2,ord_002,br_003,CONFIRMED,4010,SUB-2022,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_003_1,ord_003,br_003,CONFIRMED,4015,SUB-2031,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_003_2,ord_003,br_004,CONFIRMED,4015,SUB-2032,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_004_1,ord_004,br_004,CONFIRMED,4020,SUB-2041,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_004_2,ord_004,br_005,CONFIRMED,4020,SUB-2042,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_005_1,ord_005,br_005,CONFIRMED,4025,SUB-2051,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_005_2,ord_005,br_006,CONFIRMED,4025,SUB-2052,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_006_1,ord_006,br_006,CONFIRMED,4030,SUB-2061,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_006_2,ord_006,br_007,CONFIRMED,4030,SUB-2062,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_007_1,ord_007,br_007,CONFIRMED,4035,SUB-2071,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_007_2,ord_007,br_008,CONFIRMED,4035,SUB-2072,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_008_1,ord_008,br_008,CONFIRMED,4040,SUB-2081,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
sub_008_2,ord_008,br_009,CONFIRMED,4040,SUB-2082,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
