id,user_id,product_id,event_type,search_query,top_category,sub_category,weight,metadata,created_at
ua_001,usr_mgr_001,prd_001,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_002,usr_mgr_002,prd_002,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_003,usr_mgr_003,prd_003,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_004,usr_mgr_004,prd_004,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_005,usr_mgr_005,prd_005,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_006,usr_mgr_006,prd_006,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_007,usr_mgr_007,prd_007,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_008,usr_mgr_008,prd_008,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_009,usr_mgr_009,prd_009,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_010,usr_mgr_010,prd_010,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_011,usr_mgr_011,prd_011,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_012,usr_mgr_012,prd_012,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_013,usr_mgr_013,prd_013,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_014,usr_mgr_014,prd_014,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_015,usr_mgr_015,prd_015,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_016,usr_mgr_016,prd_016,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_017,usr_mgr_017,prd_017,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_018,usr_mgr_018,prd_018,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_019,usr_mgr_019,prd_019,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_020,usr_mgr_020,prd_020,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_021,usr_mgr_021,prd_021,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_022,usr_mgr_022,prd_022,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_023,usr_mgr_023,prd_023,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_024,usr_mgr_024,prd_024,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_025,usr_mgr_025,prd_025,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_026,usr_mgr_026,prd_026,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_027,usr_mgr_027,prd_027,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_028,usr_mgr_028,prd_028,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_029,usr_mgr_029,prd_029,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_030,usr_mgr_030,prd_030,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_031,usr_mgr_031,prd_031,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_032,usr_mgr_032,prd_032,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_033,usr_mgr_033,prd_033,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_034,usr_mgr_034,prd_034,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_035,usr_mgr_035,prd_035,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_036,usr_mgr_036,prd_036,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_037,usr_mgr_037,prd_037,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_038,usr_mgr_038,prd_038,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_039,usr_mgr_039,prd_039,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_040,usr_mgr_040,prd_040,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_041,usr_mgr_041,prd_041,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_042,usr_mgr_042,prd_042,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_043,usr_mgr_043,prd_043,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_044,usr_mgr_044,prd_044,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_045,usr_mgr_045,prd_045,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_046,usr_mgr_046,prd_046,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_047,usr_mgr_047,prd_047,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_048,usr_mgr_048,prd_048,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_049,usr_mgr_049,prd_049,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_050,usr_mgr_050,prd_050,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_051,usr_001,prd_051,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
